"DateTime","Average","Pepperwood Preserve A","Pepperwood Preserve B"
"2024-11-08 11:40:00",,19,17
"2024-11-08 11:50:00",,18,16
"2024-11-08 12:00:00",,17,15
"2024-11-08 12:10:00",,20,16
"2024-11-08 12:20:00",,18,15
"2024-11-08 12:30:00",,18,14
"2024-11-08 12:40:00",,20,17
"2024-11-08 12:50:00",,21,19
"2024-11-08 13:00:00",,26,22
"2024-11-08 13:10:00",,28,23
"2024-11-08 13:20:00",,32,29
"2024-11-08 13:30:00",,32,26
"2024-11-08 13:40:00",,29,28
"2024-11-08 13:50:00",,28,23
"2024-11-08 14:00:00",,26,22
"2024-11-08 14:10:00",,27,23
"2024-11-08 14:20:00",,27,23
"2024-11-08 14:30:00",,29,23
"2024-11-08 14:40:00",,33,30
"2024-11-08 14:50:00",,35,28
"2024-11-08 15:00:00",,34,28
"2024-11-08 15:10:00",,29,23
"2024-11-08 15:20:00",,31,26
"2024-11-08 15:30:00",,26,25
"2024-11-08 15:40:00",,32,24
"2024-11-08 15:50:00",,32,26
"2024-11-08 16:00:00",,36,31
"2024-11-08 16:10:00",,32,26
"2024-11-08 16:20:00",,16,14
"2024-11-08 16:30:00",,14,13
"2024-11-08 16:40:00",,17,15
"2024-11-08 16:50:00",,18,14
"2024-11-08 17:00:00",,19,16
"2024-11-08 17:10:00",,19,17
"2024-11-08 17:20:00",,19,17
"2024-11-08 17:30:00",,18,15
"2024-11-08 17:40:00",,17,13
"2024-11-08 17:50:00",,14,13
"2024-11-08 18:00:00",,8,6
"2024-11-08 18:10:00",,6,6
"2024-11-08 18:20:00",,6,6
"2024-11-08 18:30:00",,8,8
"2024-11-08 18:40:00",,8,7
"2024-11-08 18:50:00",,7,7
"2024-11-08 19:00:00",,8,8
"2024-11-08 19:10:00",,7,6
"2024-11-08 19:20:00",,7,6
"2024-11-08 19:30:00",,8,7
"2024-11-08 19:40:00",,9,8
"2024-11-08 19:50:00",,11,11
"2024-11-08 20:00:00",,12,9
"2024-11-08 20:10:00",,13,11
"2024-11-08 20:20:00",,13,13
"2024-11-08 20:30:00",,16,13
"2024-11-08 20:40:00",,23,21
"2024-11-08 20:50:00",,38,34
"2024-11-08 21:00:00",,43,40
"2024-11-08 21:10:00",,51,43
"2024-11-08 21:20:00",,56,54
"2024-11-08 21:30:00",,56,53
"2024-11-08 21:40:00",,58,54
"2024-11-08 21:50:00",,58,55
"2024-11-08 22:00:00",,60,60
"2024-11-08 22:10:00",,61,60
"2024-11-08 22:20:00",,61,59
"2024-11-08 22:30:00",,64,61
"2024-11-08 22:40:00",,64,62
"2024-11-08 22:50:00",,64,60
"2024-11-08 23:00:00",,65,61
"2024-11-08 23:10:00",,66,63
"2024-11-08 23:20:00",,69,66
"2024-11-08 23:30:00",,68,66
"2024-11-08 23:40:00",,69,67
"2024-11-08 23:50:00",,71,67
"2024-11-09 00:00:00",,70,67
"2024-11-09 00:10:00",,71,67
"2024-11-09 00:20:00",,73,67
"2024-11-09 00:30:00",,81,77
"2024-11-09 00:40:00",,79,74
"2024-11-09 00:50:00",,101,96
"2024-11-09 01:00:00",,77,74
"2024-11-09 01:10:00",,81,75
"2024-11-09 01:20:00",,84,81
"2024-11-09 01:30:00",,88,83
"2024-11-09 01:40:00",,77,73
"2024-11-09 01:50:00",,76,71
"2024-11-09 02:00:00",,72,67
"2024-11-09 02:10:00",,66,64
"2024-11-09 02:20:00",,68,64
"2024-11-09 02:30:00",,66,64
"2024-11-09 02:40:00",,67,65
"2024-11-09 02:50:00",,69,65
"2024-11-09 03:00:00",,69,68
"2024-11-09 03:10:00",,70,66
"2024-11-09 03:20:00",,73,69
"2024-11-09 03:30:00",,73,70
"2024-11-09 03:40:00",,74,70
"2024-11-09 03:50:00",,70,67
"2024-11-09 04:00:00",,68,67
"2024-11-09 04:10:00",,68,65
"2024-11-09 04:20:00",,68,65
"2024-11-09 04:30:00",,74,70
"2024-11-09 04:40:00",,71,67
"2024-11-09 04:50:00",,77,76
"2024-11-09 05:00:00",,86,80
"2024-11-09 05:10:00",,80,76
"2024-11-09 05:20:00",,75,72
"2024-11-09 05:30:00",,84,80
"2024-11-09 05:40:00",,86,82
"2024-11-09 05:50:00",,84,79
"2024-11-09 06:00:00",,84,81
"2024-11-09 06:10:00",,81,78
"2024-11-09 06:20:00",,79,75
"2024-11-09 06:30:00",,76,75
"2024-11-09 06:40:00",,74,69
"2024-11-09 06:50:00",,76,72
"2024-11-09 07:00:00",,78,77
"2024-11-09 07:10:00",,79,74
"2024-11-09 07:20:00",,77,73
"2024-11-09 07:30:00",,77,71
"2024-11-09 07:40:00",,74,72
"2024-11-09 07:50:00",,76,72
"2024-11-09 08:00:00",,75,70
"2024-11-09 08:10:00",,73,70
"2024-11-09 08:20:00",,69,69
"2024-11-09 08:30:00",,66,65
"2024-11-09 08:40:00",,69,65
"2024-11-09 08:50:00",,63,60
"2024-11-09 09:00:00",,66,61
"2024-11-09 09:10:00",,70,66
"2024-11-09 09:20:00",,72,66
"2024-11-09 09:30:00",,78,71
"2024-11-09 09:40:00",,72,68
"2024-11-09 09:50:00",,76,72
"2024-11-09 10:00:00",,80,73
"2024-11-09 10:10:00",,78,72
"2024-11-09 10:20:00",,76,69
"2024-11-09 10:30:00",,67,63
"2024-11-09 10:40:00",,63,60
"2024-11-09 10:50:00",,65,60
"2024-11-09 11:00:00",,67,62
"2024-11-09 11:10:00",,65,61
"2024-11-09 11:20:00",,67,62
"2024-11-09 11:30:00",,65,61
"2024-11-09 11:40:00",,68,63
"2024-11-09 11:50:00",,68,64
"2024-11-09 12:00:00",,74,65
"2024-11-09 12:10:00",,74,68
"2024-11-09 12:20:00",,72,66
"2024-11-09 12:30:00",,70,64
"2024-11-09 12:40:00",,64,61
"2024-11-09 12:50:00",,65,60
"2024-11-09 13:00:00",,63,59
"2024-11-09 13:10:00",,62,57
"2024-11-09 13:20:00",,60,54
"2024-11-09 13:30:00",,50,44
"2024-11-09 13:40:00",,54,52
"2024-11-09 13:50:00",,45,41
"2024-11-09 14:00:00",,53,48
"2024-11-09 14:10:00",,54,50
"2024-11-09 14:20:00",,52,47
"2024-11-09 14:30:00",,51,44
"2024-11-09 14:40:00",,58,52
"2024-11-09 14:50:00",,56,52
"2024-11-09 15:00:00",,54,47
"2024-11-09 15:10:00",,51,45
"2024-11-09 15:20:00",,50,42
"2024-11-09 15:30:00",,47,40
"2024-11-09 15:40:00",,42,37
"2024-11-09 15:50:00",,42,37
"2024-11-09 16:00:00",,41,36
"2024-11-09 16:10:00",,42,35
"2024-11-09 16:20:00",,47,44
"2024-11-09 16:30:00",,44,37
"2024-11-09 16:40:00",,43,37
"2024-11-09 16:50:00",,41,36
"2024-11-09 17:00:00",,40,37
"2024-11-09 17:10:00",,44,38
"2024-11-09 17:20:00",,40,38
"2024-11-09 17:30:00",,38,35
"2024-11-09 17:40:00",,38,34
"2024-11-09 17:50:00",,38,32
"2024-11-09 18:00:00",,39,34
"2024-11-09 18:10:00",,42,35
"2024-11-09 18:20:00",,40,34
"2024-11-09 18:30:00",,43,37
"2024-11-09 18:40:00",,44,38
"2024-11-09 18:50:00",,39,32
"2024-11-09 19:00:00",,31,28
"2024-11-09 19:10:00",,28,25
"2024-11-09 19:20:00",,29,27
"2024-11-09 19:30:00",,29,26
"2024-11-09 19:40:00",,28,26
"2024-11-09 19:50:00",,31,26
"2024-11-09 20:00:00",,32,27
"2024-11-09 20:10:00",,34,32
"2024-11-09 20:20:00",,43,38
"2024-11-09 20:30:00",,58,56
"2024-11-09 20:40:00",,53,52
"2024-11-09 20:50:00",,52,49
"2024-11-09 21:00:00",,58,55
"2024-11-09 21:10:00",,55,53
"2024-11-09 21:20:00",,53,50
"2024-11-09 21:30:00",,52,50
"2024-11-09 21:40:00",,51,47
"2024-11-09 21:50:00",,41,38
"2024-11-09 22:00:00",,56,52
"2024-11-09 22:10:00",,57,53
"2024-11-09 22:20:00",,52,50
"2024-11-09 22:30:00",,50,47
"2024-11-09 22:40:00",,47,45
"2024-11-09 22:50:00",,39,37
"2024-11-09 23:00:00",,32,28
"2024-11-09 23:10:00",,28,26
"2024-11-09 23:20:00",,27,24
"2024-11-09 23:30:00",,24,22
"2024-11-09 23:40:00",,26,24
"2024-11-09 23:50:00",,41,39
"2024-11-10 00:00:00",,44,45
"2024-11-10 00:10:00",,53,53
"2024-11-10 00:20:00",,60,57
"2024-11-10 00:30:00",,63,60
"2024-11-10 00:40:00",,61,59
"2024-11-10 00:50:00",,60,59
"2024-11-10 01:00:00",,57,55
"2024-11-10 01:10:00",,55,54
"2024-11-10 01:20:00",,53,49
"2024-11-10 01:30:00",,55,52
"2024-11-10 01:40:00",,57,52
"2024-11-10 01:50:00",,51,45
"2024-11-10 02:00:00",,54,51
"2024-11-10 02:10:00",,55,52
"2024-11-10 02:20:00",,52,46
"2024-11-10 02:30:00",,34,32
"2024-11-10 02:40:00",,40,38
"2024-11-10 02:50:00",,46,45
"2024-11-10 03:00:00",,46,44
"2024-11-10 03:10:00",,47,46
"2024-11-10 03:20:00",,45,43
"2024-11-10 03:30:00",,45,44
"2024-11-10 03:40:00",,47,43
"2024-11-10 03:50:00",,48,43
"2024-11-10 04:00:00",,44,42
"2024-11-10 04:10:00",,37,37
"2024-11-10 04:20:00",,41,40
"2024-11-10 04:30:00",,46,45
"2024-11-10 04:40:00",,47,45
"2024-11-10 04:50:00",,47,44
"2024-11-10 05:00:00",,50,44
"2024-11-10 05:10:00",,46,43
"2024-11-10 05:20:00",,45,41
"2024-11-10 05:30:00",,43,40
"2024-11-10 05:40:00",,44,39
"2024-11-10 05:50:00",,41,38
"2024-11-10 06:00:00",,43,39
"2024-11-10 06:10:00",,43,40
"2024-11-10 06:20:00",,41,39
"2024-11-10 06:30:00",,42,40
"2024-11-10 06:40:00",,43,42
"2024-11-10 06:50:00",,48,43
"2024-11-10 07:00:00",,52,49
"2024-11-10 07:10:00",,55,49
"2024-11-10 07:20:00",,54,52
"2024-11-10 07:30:00",,53,48
"2024-11-10 07:40:00",,57,55
"2024-11-10 07:50:00",31.7,57,55
