"DateTime","Average","Pepperwood Preserve A","Pepperwood Preserve B"
"2024-11-14 23:30:00",10.2,4,7
"2024-11-14 23:40:00",,4,6
"2024-11-14 23:50:00",,3,6
"2024-11-15 00:00:00",,4,6
"2024-11-15 00:10:00",,4,6
"2024-11-15 00:20:00",,4,5
"2024-11-15 00:30:00",,3,5
"2024-11-15 00:40:00",,5,6
"2024-11-15 00:50:00",,3,7
"2024-11-15 01:00:00",,4,7
"2024-11-15 01:10:00",,4,5
"2024-11-15 01:20:00",,4,5
"2024-11-15 01:30:00",,5,5
"2024-11-15 01:40:00",,4,6
"2024-11-15 01:50:00",,4,5
"2024-11-15 02:00:00",,3,7
"2024-11-15 02:10:00",,5,8
"2024-11-15 02:20:00",,4,6
"2024-11-15 02:30:00",,5,7
"2024-11-15 02:40:00",,5,7
"2024-11-15 02:50:00",,6,5
"2024-11-15 03:00:00",,6,7
"2024-11-15 03:10:00",,5,7
"2024-11-15 03:20:00",,5,7
"2024-11-15 03:30:00",,6,8
"2024-11-15 03:40:00",,6,7
"2024-11-15 03:50:00",,6,7
"2024-11-15 04:00:00",,6,7
"2024-11-15 04:10:00",,4,7
"2024-11-15 04:20:00",,5,6
"2024-11-15 04:30:00",,5,7
"2024-11-15 04:40:00",,3,5
"2024-11-15 04:50:00",,5,5
"2024-11-15 05:00:00",,5,6
"2024-11-15 05:10:00",,5,6
"2024-11-15 05:20:00",,5,5
"2024-11-15 05:30:00",,4,5
"2024-11-15 05:40:00",,4,5
"2024-11-15 05:50:00",,4,6
"2024-11-15 06:00:00",,3,6
"2024-11-15 06:10:00",,3,5
"2024-11-15 06:20:00",,3,4
"2024-11-15 06:30:00",,3,3
"2024-11-15 06:40:00",,3,5
"2024-11-15 06:50:00",,3,4
"2024-11-15 07:00:00",,3,2
"2024-11-15 07:10:00",,2,3
"2024-11-15 07:20:00",,3,3
"2024-11-15 07:30:00",,2,3
"2024-11-15 07:40:00",,2,4
"2024-11-15 07:50:00",,3,2
"2024-11-15 08:00:00",,3,3
"2024-11-15 08:10:00",,1,2
"2024-11-15 08:20:00",,1,2
"2024-11-15 08:30:00",,1,3
"2024-11-15 08:40:00",,2,3
"2024-11-15 08:50:00",,2,3
"2024-11-15 09:00:00",,2,3
"2024-11-15 09:10:00",,2,3
"2024-11-15 09:20:00",,3,5
"2024-11-15 09:30:00",,3,4
"2024-11-15 09:40:00",,3,4
"2024-11-15 09:50:00",,4,5
"2024-11-15 10:00:00",,3,4
"2024-11-15 10:10:00",,3,3
"2024-11-15 10:20:00",,3,3
"2024-11-15 10:30:00",,2,3
"2024-11-15 10:40:00",,2,3
"2024-11-15 10:50:00",,4,3
