"DateTime","Average","South Dish - Indoor A","South Dish A","South Dish B"
"2024-12-16 23:10:00",,6,26,18
"2024-12-16 23:20:00",,4,13,8
"2024-12-16 23:30:00",,5,22,13
"2024-12-16 23:40:00",,5,20,12
"2024-12-16 23:50:00",,6,28,16
"2024-12-17 00:00:00",,10,33,21
"2024-12-17 00:10:00",,11,36,20
"2024-12-17 00:20:00",,12,42,24
"2024-12-17 00:30:00",,15,47,30
"2024-12-17 00:40:00",,13,35,21
"2024-12-17 00:50:00",,14,33,19
"2024-12-17 01:00:00",,14,26,16
"2024-12-17 01:10:00",,14,25,15
"2024-12-17 01:20:00",,12,21,12
"2024-12-17 01:30:00",,13,25,15
"2024-12-17 01:40:00",,12,25,14
"2024-12-17 01:50:00",,13,32,18
"2024-12-17 02:00:00",,12,28,17
"2024-12-17 02:10:00",,12,28,14
"2024-12-17 02:20:00",,10,31,17
"2024-12-17 02:30:00",,12,34,19
"2024-12-17 02:40:00",,13,36,21
"2024-12-17 02:50:00",,14,43,22
"2024-12-17 03:00:00",,15,49,28
"2024-12-17 03:10:00",,16,53,29
"2024-12-17 03:20:00",,20,59,38
"2024-12-17 03:30:00",,22,57,37
"2024-12-17 03:40:00",,22,60,40
"2024-12-17 03:50:00",,23,63,43
"2024-12-17 04:00:00",,24,58,37
"2024-12-17 04:10:00",,27,56,37
"2024-12-17 04:20:00",,27,62,39
"2024-12-17 04:30:00",,29,58,38
"2024-12-17 04:40:00",,26,54,35
"2024-12-17 04:50:00",,29,59,36
"2024-12-17 05:00:00",,30,61,39
"2024-12-17 05:10:00",,33,64,45
"2024-12-17 05:20:00",,33,61,46
"2024-12-17 05:30:00",,36,69,48
"2024-12-17 05:40:00",,35,71,53
"2024-12-17 05:50:00",,35,67,50
"2024-12-17 06:00:00",,35,68,51
"2024-12-17 06:10:00",,34,65,50
"2024-12-17 06:20:00",,30,57,40
"2024-12-17 06:30:00",,27,51,32
"2024-12-17 06:40:00",,27,52,34
"2024-12-17 06:50:00",,27,55,36
"2024-12-17 07:00:00",,20,53,34
"2024-12-17 07:10:00",,22,54,34
"2024-12-17 07:20:00",,22,49,34
"2024-12-17 07:30:00",,22,52,33
"2024-12-17 07:40:00",,22,53,35
"2024-12-17 07:50:00",,19,55,37
"2024-12-17 08:00:00",,19,57,39
"2024-12-17 08:10:00",,17,57,38
"2024-12-17 08:20:00",,19,54,35
"2024-12-17 08:30:00",,20,56,37
"2024-12-17 08:40:00",,22,60,40
"2024-12-17 08:50:00",,27,60,45
"2024-12-17 09:00:00",,26,66,47
"2024-12-17 09:10:00",,26,64,48
"2024-12-17 09:20:00",,25,65,47
"2024-12-17 09:30:00",,27,61,44
"2024-12-17 09:40:00",,26,61,45
"2024-12-17 09:50:00",,28,62,48
"2024-12-17 10:00:00",,27,58,43
"2024-12-17 10:10:00",,26,59,45
"2024-12-17 10:20:00",,25,59,43
"2024-12-17 10:30:00",,25,59,45
