"DateTime","Average","South Dish A","South Dish B","South Dish - Indoor A","OPM Mid A","OPM Mid B"
"2024-12-16 22:20:00",32.6,3,0,1,4,4
"2024-12-16 22:30:00",,10,6,1,0,1
"2024-12-16 22:40:00",,27,18,2,9,8
"2024-12-16 22:50:00",,38,29,4,7,8
"2024-12-16 23:00:00",,52,36,5,0,0
"2024-12-16 23:10:00",,26,18,6,0,0
"2024-12-16 23:20:00",,13,8,4,0,0
"2024-12-16 23:30:00",,22,13,5,1,1
"2024-12-16 23:40:00",,20,12,5,6,6
"2024-12-16 23:50:00",,28,16,6,4,4
"2024-12-17 00:00:00",,33,21,10,10,9
"2024-12-17 00:10:00",,36,20,11,5,5
"2024-12-17 00:20:00",,42,24,12,3,3
"2024-12-17 00:30:00",,47,30,15,7,6
"2024-12-17 00:40:00",,35,21,13,10,5
"2024-12-17 00:50:00",,33,19,14,6,5
"2024-12-17 01:00:00",,26,16,14,3,1
"2024-12-17 01:10:00",,25,15,14,4,4
"2024-12-17 01:20:00",,21,12,12,3,2
"2024-12-17 01:30:00",,25,15,13,3,0
"2024-12-17 01:40:00",,25,14,12,3,3
"2024-12-17 01:50:00",,32,18,13,10,9
"2024-12-17 02:00:00",,28,17,12,13,12
"2024-12-17 02:10:00",,28,14,12,13,12
"2024-12-17 02:20:00",,31,17,10,16,14
"2024-12-17 02:30:00",,34,19,12,17,15
"2024-12-17 02:40:00",,36,21,13,20,19
"2024-12-17 02:50:00",,43,22,14,24,19
"2024-12-17 03:00:00",,49,28,15,31,29
"2024-12-17 03:10:00",,53,29,16,42,33
"2024-12-17 03:20:00",,59,38,20,58,49
"2024-12-17 03:30:00",,57,37,22,48,45
"2024-12-17 03:40:00",,60,40,22,45,40
"2024-12-17 03:50:00",,63,43,23,49,43
"2024-12-17 04:00:00",,58,37,24,56,48
"2024-12-17 04:10:00",,56,37,27,57,54
"2024-12-17 04:20:00",,62,39,27,54,51
"2024-12-17 04:30:00",,58,38,29,41,39
"2024-12-17 04:40:00",,54,35,26,46,42
"2024-12-17 04:50:00",,59,36,29,53,43
"2024-12-17 05:00:00",,61,39,30,60,52
"2024-12-17 05:10:00",,64,45,33,57,45
"2024-12-17 05:20:00",,61,46,33,57,48
"2024-12-17 05:30:00",,69,48,36,61,59
"2024-12-17 05:40:00",,71,53,35,66,63
"2024-12-17 05:50:00",,67,50,35,66,65
"2024-12-17 06:00:00",,68,51,35,64,61
"2024-12-17 06:10:00",,65,50,34,60,58
"2024-12-17 06:20:00",,57,40,30,51,43
"2024-12-17 06:30:00",,51,32,27,32,32
"2024-12-17 06:40:00",,52,34,27,35,35
"2024-12-17 06:50:00",,55,36,27,37,37
"2024-12-17 07:00:00",,53,34,20,36,36
"2024-12-17 07:10:00",,54,34,22,34,36
"2024-12-17 07:20:00",,49,34,22,33,35
"2024-12-17 07:30:00",,52,33,22,38,39
"2024-12-17 07:40:00",,53,35,22,47,46
"2024-12-17 07:50:00",,55,37,19,37,36
"2024-12-17 08:00:00",,57,39,19,32,35
"2024-12-17 08:10:00",,57,38,17,36,35
"2024-12-17 08:20:00",,54,35,19,34,36
"2024-12-17 08:30:00",,56,37,20,30,28
"2024-12-17 08:40:00",,60,40,22,36,37
"2024-12-17 08:50:00",,60,45,27,40,41
"2024-12-17 09:00:00",,66,47,26,40,41
"2024-12-17 09:10:00",,64,48,26,45,50
"2024-12-17 09:20:00",,65,47,25,54,54
"2024-12-17 09:30:00",,61,44,27,54,56
"2024-12-17 09:40:00",,61,45,26,47,49
"2024-12-17 09:50:00",,62,48,28,59,60
"2024-12-17 10:00:00",,58,43,27,36,40
"2024-12-17 10:10:00",,59,45,26,41,40
"2024-12-17 10:20:00",,59,43,25,33,32
"2024-12-17 10:30:00",,59,45,25,43,45
"2024-12-17 10:40:00",,63,48,28,51,50
"2024-12-17 10:50:00",,60,46,28,48,46
"2024-12-17 11:00:00",,60,45,27,43,39
"2024-12-17 11:10:00",,60,45,26,38,38
"2024-12-17 11:20:00",,63,47,28,37,36
"2024-12-17 11:30:00",,58,39,27,27,30
"2024-12-17 11:40:00",,57,40,24,25,26
"2024-12-17 11:50:00",,53,35,26,24,26
"2024-12-17 12:00:00",,47,31,23,20,21
"2024-12-17 12:10:00",,47,30,23,13,16
"2024-12-17 12:20:00",,38,25,20,6,6
"2024-12-17 12:30:00",,38,25,18,8,9
"2024-12-17 12:40:00",,37,23,17,15,15
